x,y,orient_x,orient_y,steer,throttle,speed,psi,cte,epsi,which_closest,poly0,poly1,poly2,pts_car_0_0,pts_car_0_1,pts_car_1_0,pts_car_1_1,pts_car_2_0,pts_car_2_1,frame
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.008227718055885484,0.999999999999353,0.0,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,0
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5928644794099165,1.0,1.081929146273808e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,1
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963234525719748,0.9999999999998752,2.1633175251167813e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,2
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168588384359,1.0,3.2441655362092095e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,3
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168666163597,0.9999999999855074,4.3244719805102255e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,4
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168616709775,0.9999999999916455,5.404239056261417e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,5
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168567631506,0.9999999999960832,6.483467362983219e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,6
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168518578513,0.9999999999998016,7.562156500995344e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,7
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168469544646,0.999999999995054,8.640305271256921e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,8
-183.8000030517578,80.19999694824219,5.960464477539063e-08,-0.9999998807907104,0.5963168420469961,0.9999999999944249,9.717916871210265e-09,-1.5707962671902447,-2.601322792104335,-0.035711861544792875,0,-0.0012587517882815496,0.03572705084687548,-2.601322792104335,-5.783104601606165,-2.850034135222729,7.13440175203107,-2.4105017316928308,22.256171022652065,-2.429681959910652,9
